query_number,query,intent_number,intent,rank,tool_name,score,gap,gap_percent
1,Send an email to Tom,1,Send an email to Tom,45,railway_tools_service_restart,0.431640625,0.00390625,0.5494505494505495
1,Send an email to Tom,1,Send an email to Tom,46,railway_tools_service_create_from_repo,0.427734375,0.0,0.0
1,Send an email to Tom,1,Send an email to Tom,47,carrot_mcp_server_api_hr_dashboard_summary,0.427734375,0.00390625,0.5494505494505495
1,Send an email to Tom,1,Send an email to Tom,48,railway_tools_service_info,0.423828125,0.0,0.0
1,Send an email to Tom,1,Send an email to Tom,49,supabase_mcp_insert_table_data,0.423828125,0.00390625,0.5494505494505495
1,Send an email to Tom,1,Send an email to Tom,50,github_mcp_server_create_or_update_file,0.419921875,0.0,0.0
1,Send an email to Tom,1,Send an email to Tom,51,project_management_tools_create_team,0.419921875,0.001953125,0.27472527472527475
1,Send an email to Tom,1,Send an email to Tom,52,railway_tools_database_list_types,0.41796875,0.0,0.0
1,Send an email to Tom,1,Send an email to Tom,53,carrot_mcp_server_api_log_hours_entry,0.41796875,0.0,0.0
1,Send an email to Tom,1,Send an email to Tom,54,carrot_mcp_server_api_update_leave_application,0.41796875,0.0,0.0
1,Send an email to Tom,1,Send an email to Tom,55,office_word_mcp_server_api_merge_doucments,0.41796875,0.0,0.0
1,Send an email to Tom,1,Send an email to Tom,56,project_management_tools_list_work_items,0.41796875,0.001953125,0.27472527472527475
1,Send an email to Tom,1,Send an email to Tom,57,supabase_mcp_update_database_table_data,0.416015625,0.0,0.0
1,Send an email to Tom,1,Send an email to Tom,58,project_management_tools_create_work_item,0.416015625,0.00390625,0.5494505494505495
1,Send an email to Tom,1,Send an email to Tom,59,quest_studio_file_storage_get_storage_usage,0.412109375,0.001953125,0.27472527472527475
1,Send an email to Tom,1,Send an email to Tom,60,project_management_tools_create_sprint,0.41015625,0.001953125,0.27472527472527475
1,Send an email to Tom,1,Send an email to Tom,61,project_management_tools_list_sprints,0.408203125,0.0,0.0
1,Send an email to Tom,1,Send an email to Tom,62,github_mcp_server_create_repository,0.408203125,0.0,0.0
1,Send an email to Tom,1,Send an email to Tom,63,quest_studio_file_storage_get_file_content,0.408203125,0.001953125,0.27472527472527475
1,Send an email to Tom,1,Send an email to Tom,64,github_mcp_server_pull_request_read,0.40625,0.001953125,0.27472527472527475
1,Send an email to Tom,1,Send an email to Tom,65,railway_tools_service_update,0.404296875,0.0,0.0
1,Send an email to Tom,1,Send an email to Tom,66,quest_studio_file_storage_delete_file,0.404296875,0.0,0.0
1,Send an email to Tom,1,Send an email to Tom,67,supabase_mcp_check_database_health,0.404296875,0.001953125,0.27472527472527475
1,Send an email to Tom,1,Send an email to Tom,68,railway_tools_service_create_from_image,0.40234375,0.001953125,0.27472527472527475
1,Send an email to Tom,1,Send an email to Tom,69,project_management_tools_get_team,0.400390625,0.0,0.0
1,Send an email to Tom,1,Send an email to Tom,70,railway_tools_service_delete,0.400390625,0.001953125,0.27472527472527475
1,Send an email to Tom,1,Send an email to Tom,71,office_word_mcp_server_api_list_files,0.3984375,0.001953125,0.27472527472527475
1,Send an email to Tom,1,Send an email to Tom,72,github_mcp_server_get_commit,0.396484375,0.0,0.0
1,Send an email to Tom,1,Send an email to Tom,73,github_mcp_server_create_pull_request,0.396484375,0.0,0.0
1,Send an email to Tom,1,Send an email to Tom,74,web_search_tools_web_search,0.396484375,0.001953125,0.27472527472527475
1,Send an email to Tom,1,Send an email to Tom,75,project_management_tools_list_team_members,0.39453125,0.001953125,0.27472527472527475
1,Send an email to Tom,1,Send an email to Tom,76,carrot_mcp_server_api_list_leave_application,0.392578125,0.0,0.0
1,Send an email to Tom,1,Send an email to Tom,77,project_management_tools_view_board,0.392578125,0.0,0.0
1,Send an email to Tom,1,Send an email to Tom,78,project_management_tools_list_teams,0.392578125,0.0,0.0
1,Send an email to Tom,1,Send an email to Tom,79,project_management_tools_delete_team,0.392578125,0.001953125,0.27472527472527475
1,Send an email to Tom,1,Send an email to Tom,80,project_management_tools_get_sprint,0.390625,0.0,0.0
1,Send an email to Tom,1,Send an email to Tom,81,carrot_mcp_server_api_work_hours_summary,0.390625,0.0,0.0
1,Send an email to Tom,1,Send an email to Tom,82,project_management_tools_assign_work_item,0.390625,0.001953125,0.27472527472527475
1,Send an email to Tom,1,Send an email to Tom,83,project_management_tools_add_work_item_comment,0.388671875,0.001953125,0.27472527472527475
1,Send an email to Tom,1,Send an email to Tom,84,github_mcp_server_get_me,0.38671875,0.0,0.0
1,Send an email to Tom,1,Send an email to Tom,85,github_mcp_server_search_repositories,0.38671875,0.0,0.0
1,Send an email to Tom,1,Send an email to Tom,86,github_mcp_server_list_commits,0.38671875,0.001953125,0.27472527472527475
1,Send an email to Tom,1,Send an email to Tom,87,github_mcp_server_create_branch,0.384765625,0.0,0.0
1,Send an email to Tom,1,Send an email to Tom,88,sharepoint_tools_get_sharepoint_documents,0.384765625,0.001953125,0.27472527472527475
1,Send an email to Tom,1,Send an email to Tom,89,supabase_mcp_get_table_schema,0.3828125,0.0,0.0
1,Send an email to Tom,1,Send an email to Tom,90,supabase_mcp_select_database_table_data,0.3828125,0.0,0.0
1,Send an email to Tom,1,Send an email to Tom,91,project_management_tools_update_task_status,0.3828125,0.0,0.0
1,Send an email to Tom,1,Send an email to Tom,92,quest_studio_file_storage_update_file,0.3828125,0.001953125,0.27472527472527475
1,Send an email to Tom,1,Send an email to Tom,93,github_mcp_server_merge_pull_request,0.380859375,0.0,0.0
1,Send an email to Tom,1,Send an email to Tom,94,project_management_tools_delete_sprint,0.380859375,0.001953125,0.27472527472527475
1,Send an email to Tom,1,Send an email to Tom,95,project_management_tools_create_project,0.37890625,0.001953125,0.27472527472527475
1,Send an email to Tom,1,Send an email to Tom,96,project_management_tools_get_user_capacity,0.376953125,0.0,0.0
1,Send an email to Tom,1,Send an email to Tom,97,github_mcp_server_get_file_contents,0.376953125,0.001953125,0.27472527472527475
1,Send an email to Tom,1,Send an email to Tom,98,github_mcp_server_push_files,0.375,0.0,0.0
1,Send an email to Tom,1,Send an email to Tom,99,quest_studio_file_storage_get_file,0.375,0.001953125,0.27472527472527475
1,Send an email to Tom,1,Send an email to Tom,100,project_management_tools_update_work_item,0.373046875,0.0,0.0
1,Send an email to Tom,1,Send an email to Tom,101,project_management_tools_update_user_capacity,0.373046875,0.0,0.0
1,Send an email to Tom,1,Send an email to Tom,102,github_mcp_server_list_pull_requests,0.373046875,0.00390625,0.5494505494505495
1,Send an email to Tom,1,Send an email to Tom,103,project_management_tools_get_work_item_comments,0.369140625,0.001953125,0.27472527472527475
1,Send an email to Tom,1,Send an email to Tom,104,project_management_tools_delete_work_item,0.3671875,0.0,0.0
1,Send an email to Tom,1,Send an email to Tom,105,github_mcp_server_update_pull_request,0.3671875,0.0,0.0
1,Send an email to Tom,1,Send an email to Tom,106,supabase_mcp_get_database_tables,0.3671875,0.001953125,0.27472527472527475
1,Send an email to Tom,1,Send an email to Tom,107,sharepoint_tools_get_sharepoint_sites,0.365234375,0.0,0.0
1,Send an email to Tom,1,Send an email to Tom,108,railway_tools_volume_delete,0.365234375,0.001953125,0.27472527472527475
1,Send an email to Tom,1,Send an email to Tom,109,railway_tools_volume_update,0.36328125,0.0,0.0
1,Send an email to Tom,1,Send an email to Tom,110,quest_studio_file_storage_get_files,0.36328125,0.0,0.0
1,Send an email to Tom,1,Send an email to Tom,111,supabase_mcp_get_all_supabase_projects,0.36328125,0.001953125,0.27472527472527475
1,Send an email to Tom,1,Send an email to Tom,112,github_mcp_server_list_branches,0.361328125,0.001953125,0.27472527472527475
1,Send an email to Tom,1,Send an email to Tom,113,project_management_tools_get_work_item,0.359375,0.005859375,0.8241758241758242
1,Send an email to Tom,1,Send an email to Tom,114,railway_tools_volume_list,0.353515625,0.00390625,0.5494505494505495
1,Send an email to Tom,1,Send an email to Tom,115,github_mcp_server_delete_file,0.349609375,0.0078125,1.098901098901099
1,Send an email to Tom,1,Send an email to Tom,116,railway_tools_volume_create,0.341796875,0.00390625,0.5494505494505495
1,Send an email to Tom,1,Send an email to Tom,117,project_management_tools_list_users,0.337890625,0.0,0.0
1,Send an email to Tom,1,Send an email to Tom,118,project_management_tools_list_projects,0.337890625,0.009765625,1.3736263736263736
1,Send an email to Tom,1,Send an email to Tom,119,project_management_tools_get_project,0.328125,0.0078125,1.098901098901099
1,Send an email to Tom,1,Send an email to Tom,120,project_management_tools_update_project,0.3203125,0.00390625,0.5494505494505495
1,Send an email to Tom,1,Send an email to Tom,121,project_management_tools_delete_project,0.31640625,0.021484375,3.021978021978022
1,Send an email to Tom,1,Send an email to Tom,122,quest_studio_file_storage_query_files,0.294921875,,
2,Reply to Tom's email,1,Reply to Tom 's email,1,gmail_tools_reply_google_email,0.72265625,0.01953125,2.7027027027027026
2,Reply to Tom's email,1,Reply to Tom 's email,2,outlook_mail_management_reply_to_email,0.703125,0.078125,10.81081081081081
2,Reply to Tom's email,1,Reply to Tom 's email,3,gmail_tools_send_google_email,0.625,0.0078125,1.0810810810810811
2,Reply to Tom's email,1,Reply to Tom 's email,4,outlook_mail_management_compose_email,0.6171875,0.0078125,1.0810810810810811
2,Reply to Tom's email,1,Reply to Tom 's email,5,gmail_tools_forward_google_email,0.609375,0.01953125,2.7027027027027026
2,Reply to Tom's email,1,Reply to Tom 's email,6,gmail_tools_get_google_emails,0.58984375,0.01953125,2.7027027027027026
2,Reply to Tom's email,1,Reply to Tom 's email,7,gmail_tools_delete_google_email,0.5703125,0.00390625,0.5405405405405406
2,Reply to Tom's email,1,Reply to Tom 's email,8,outlook_mail_management_send_email,0.56640625,0.015625,2.1621621621621623
2,Reply to Tom's email,1,Reply to Tom 's email,9,outlook_mail_management_forward_email,0.55078125,0.0078125,1.0810810810810811
2,Reply to Tom's email,1,Reply to Tom 's email,10,outlook_mail_management_find_email_address,0.54296875,0.01171875,1.6216216216216217
2,Reply to Tom's email,1,Reply to Tom 's email,11,outlook_mail_management_search_outlook_mail,0.53125,0.033203125,4.594594594594595
2,Reply to Tom's email,1,Reply to Tom 's email,12,office_word_mcp_server_api_search_replace,0.498046875,0.001953125,0.2702702702702703
2,Reply to Tom's email,1,Reply to Tom 's email,13,outlook_mail_management_get_email_messages,0.49609375,0.001953125,0.2702702702702703
2,Reply to Tom's email,1,Reply to Tom 's email,14,github_mcp_server_pull_request_read,0.494140625,0.0,0.0
2,Reply to Tom's email,1,Reply to Tom 's email,15,carrot_mcp_server_api_update_employee,0.494140625,0.005859375,0.8108108108108109
2,Reply to Tom's email,1,Reply to Tom 's email,16,office_word_mcp_server_api_convert_to_pdf,0.48828125,0.00390625,0.5405405405405406
2,Reply to Tom's email,1,Reply to Tom 's email,17,office_word_mcp_server_api_add_table,0.484375,0.0,0.0
2,Reply to Tom's email,1,Reply to Tom 's email,18,carrot_mcp_server_api_submit_leave_application,0.484375,0.001953125,0.2702702702702703
2,Reply to Tom's email,1,Reply to Tom 's email,19,office_word_mcp_server_api_add_picture,0.482421875,0.005859375,0.8108108108108109
2,Reply to Tom's email,1,Reply to Tom 's email,20,office_word_mcp_server_api_copy_document,0.4765625,0.001953125,0.2702702702702703
2,Reply to Tom's email,1,Reply to Tom 's email,21,office_word_mcp_server_api_add_paragraph,0.474609375,0.001953125,0.2702702702702703
2,Reply to Tom's email,1,Reply to Tom 's email,22,github_mcp_server_search_repositories,0.47265625,0.0,0.0
2,Reply to Tom's email,1,Reply to Tom 's email,23,carrot_mcp_server_api_create_employee,0.47265625,0.0,0.0
2,Reply to Tom's email,1,Reply to Tom 's email,24,github_mcp_server_get_commit,0.47265625,0.001953125,0.2702702702702703
2,Reply to Tom's email,1,Reply to Tom 's email,25,railway_tools_project_info,0.470703125,0.0,0.0
2,Reply to Tom's email,1,Reply to Tom 's email,26,office_word_mcp_server_api_find_text_in_document,0.470703125,0.0,0.0
2,Reply to Tom's email,1,Reply to Tom 's email,27,office_word_mcp_server_api_add_heading,0.470703125,0.0,0.0
2,Reply to Tom's email,1,Reply to Tom 's email,28,office_word_mcp_server_api_get_document_outline,0.470703125,0.001953125,0.2702702702702703
2,Reply to Tom's email,1,Reply to Tom 's email,29,github_mcp_server_create_or_update_file,0.46875,0.0,0.0
2,Reply to Tom's email,1,Reply to Tom 's email,30,sharepoint_tools_create_txt_file_in_sharepoint,0.46875,0.001953125,0.2702702702702703
2,Reply to Tom's email,1,Reply to Tom 's email,31,carrot_mcp_server_api_create_leave_application,0.466796875,0.0,0.0
2,Reply to Tom's email,1,Reply to Tom 's email,32,office_word_mcp_server_api_create_word_document,0.466796875,0.00390625,0.5405405405405406
2,Reply to Tom's email,1,Reply to Tom 's email,33,office_word_mcp_server_api_get_paragraph_text_from_document,0.462890625,0.0,0.0
2,Reply to Tom's email,1,Reply to Tom 's email,34,carrot_mcp_server_api_update_leave_application,0.462890625,0.001953125,0.2702702702702703
2,Reply to Tom's email,1,Reply to Tom 's email,35,outlook_mail_management_delete_email_message,0.4609375,0.0,0.0
2,Reply to Tom's email,1,Reply to Tom 's email,36,office_word_mcp_server_api_get_document_text,0.4609375,0.0,0.0
2,Reply to Tom's email,1,Reply to Tom 's email,37,github_mcp_server_get_me,0.4609375,0.0,0.0
2,Reply to Tom's email,1,Reply to Tom 's email,38,office_word_mcp_server_api_get_document_info,0.4609375,0.001953125,0.2702702702702703
2,Reply to Tom's email,1,Reply to Tom 's email,39,github_mcp_server_list_commits,0.458984375,0.001953125,0.2702702702702703
2,Reply to Tom's email,1,Reply to Tom 's email,40,office_word_mcp_server_api_get_document_xml,0.45703125,0.001953125,0.2702702702702703
2,Reply to Tom's email,1,Reply to Tom 's email,41,carrot_mcp_server_api_get_employee,0.455078125,0.0,0.0
2,Reply to Tom's email,1,Reply to Tom 's email,42,github_mcp_server_list_pull_requests,0.455078125,0.0,0.0
2,Reply to Tom's email,1,Reply to Tom 's email,43,office_word_mcp_server_api_add_page_break,0.455078125,0.0,0.0
2,Reply to Tom's email,1,Reply to Tom 's email,44,project_management_tools_get_team,0.455078125,0.001953125,0.2702702702702703
2,Reply to Tom's email,1,Reply to Tom 's email,45,railway_tools_project_environments,0.453125,0.0,0.0
2,Reply to Tom's email,1,Reply to Tom 's email,46,office_word_mcp_server_api_delete_paragraph,0.453125,0.001953125,0.2702702702702703
2,Reply to Tom's email,1,Reply to Tom 's email,47,carrot_mcp_server_api_list_employees,0.451171875,0.001953125,0.2702702702702703
2,Reply to Tom's email,1,Reply to Tom 's email,48,railway_tools_service_restart,0.44921875,0.0,0.0
2,Reply to Tom's email,1,Reply to Tom 's email,49,carrot_mcp_server_api_hr_dashboard_summary,0.44921875,0.001953125,0.2702702702702703
2,Reply to Tom's email,1,Reply to Tom 's email,50,office_word_mcp_server_api_delete_document,0.447265625,0.0,0.0
2,Reply to Tom's email,1,Reply to Tom 's email,51,github_mcp_server_merge_pull_request,0.447265625,0.0,0.0
2,Reply to Tom's email,1,Reply to Tom 's email,52,railway_tools_service_create_from_repo,0.447265625,0.0,0.0
2,Reply to Tom's email,1,Reply to Tom 's email,53,supabase_mcp_update_database_table_data,0.447265625,0.0,0.0
2,Reply to Tom's email,1,Reply to Tom 's email,54,project_management_tools_list_work_items,0.447265625,0.001953125,0.2702702702702703
2,Reply to Tom's email,1,Reply to Tom 's email,55,project_management_tools_create_team,0.4453125,0.0,0.0
2,Reply to Tom's email,1,Reply to Tom 's email,56,project_management_tools_get_work_item_comments,0.4453125,0.001953125,0.2702702702702703
2,Reply to Tom's email,1,Reply to Tom 's email,57,office_word_mcp_server_api_merge_doucments,0.443359375,0.0,0.0
2,Reply to Tom's email,1,Reply to Tom 's email,58,github_mcp_server_update_pull_request,0.443359375,0.0,0.0
2,Reply to Tom's email,1,Reply to Tom 's email,59,railway_tools_service_list,0.443359375,0.001953125,0.2702702702702703
2,Reply to Tom's email,1,Reply to Tom 's email,60,project_management_tools_view_board,0.44140625,0.001953125,0.2702702702702703
2,Reply to Tom's email,1,Reply to Tom 's email,61,github_mcp_server_create_pull_request,0.439453125,0.0,0.0
2,Reply to Tom's email,1,Reply to Tom 's email,62,railway_tools_project_list,0.439453125,0.0,0.0
2,Reply to Tom's email,1,Reply to Tom 's email,63,project_management_tools_list_teams,0.439453125,0.0,0.0
2,Reply to Tom's email,1,Reply to Tom 's email,64,railway_tools_service_info,0.439453125,0.001953125,0.2702702702702703
2,Reply to Tom's email,1,Reply to Tom 's email,65,project_management_tools_export_sprint_to_sharepoint,0.4375,0.001953125,0.2702702702702703
2,Reply to Tom's email,1,Reply to Tom 's email,66,project_management_tools_delete_team,0.435546875,0.0,0.0
2,Reply to Tom's email,1,Reply to Tom 's email,67,quest_studio_file_storage_get_storage_usage,0.435546875,0.0,0.0
2,Reply to Tom's email,1,Reply to Tom 's email,68,railway_tools_project_delete,0.435546875,0.001953125,0.2702702702702703
2,Reply to Tom's email,1,Reply to Tom 's email,69,project_management_tools_list_team_members,0.43359375,0.0,0.0
2,Reply to Tom's email,1,Reply to Tom 's email,70,project_management_tools_update_task_status,0.43359375,0.001953125,0.2702702702702703
2,Reply to Tom's email,1,Reply to Tom 's email,71,github_mcp_server_get_file_contents,0.431640625,0.0,0.0
2,Reply to Tom's email,1,Reply to Tom 's email,72,github_mcp_server_create_repository,0.431640625,0.001953125,0.2702702702702703
2,Reply to Tom's email,1,Reply to Tom 's email,73,railway_tools_service_update,0.4296875,0.001953125,0.2702702702702703
2,Reply to Tom's email,1,Reply to Tom 's email,74,railway_tools_project_create,0.427734375,0.001953125,0.2702702702702703
2,Reply to Tom's email,1,Reply to Tom 's email,75,github_mcp_server_list_branches,0.42578125,0.001953125,0.2702702702702703
2,Reply to Tom's email,1,Reply to Tom 's email,76,web_search_tools_web_search,0.423828125,0.0,0.0
2,Reply to Tom's email,1,Reply to Tom 's email,77,office_word_mcp_server_api_list_files,0.423828125,0.001953125,0.2702702702702703
2,Reply to Tom's email,1,Reply to Tom 's email,78,supabase_mcp_get_table_schema,0.421875,0.0,0.0
2,Reply to Tom's email,1,Reply to Tom 's email,79,railway_tools_database_list_types,0.421875,0.0,0.0
2,Reply to Tom's email,1,Reply to Tom 's email,80,quest_studio_file_storage_get_file_content,0.421875,0.0,0.0
2,Reply to Tom's email,1,Reply to Tom 's email,81,project_management_tools_list_sprints,0.421875,0.0,0.0
2,Reply to Tom's email,1,Reply to Tom 's email,82,project_management_tools_add_work_item_comment,0.421875,0.0,0.0
2,Reply to Tom's email,1,Reply to Tom 's email,83,supabase_mcp_check_database_health,0.421875,0.001953125,0.2702702702702703
2,Reply to Tom's email,1,Reply to Tom 's email,84,quest_studio_file_storage_delete_file,0.419921875,0.00390625,0.5405405405405406
2,Reply to Tom's email,1,Reply to Tom 's email,85,carrot_mcp_server_api_work_hours_summary,0.416015625,0.0,0.0
2,Reply to Tom's email,1,Reply to Tom 's email,86,carrot_mcp_server_api_log_hours_entry,0.416015625,0.00390625,0.5405405405405406
2,Reply to Tom's email,1,Reply to Tom 's email,87,project_management_tools_assign_work_item,0.412109375,0.0,0.0
2,Reply to Tom's email,1,Reply to Tom 's email,88,carrot_mcp_server_api_list_leave_application,0.412109375,0.001953125,0.2702702702702703
2,Reply to Tom's email,1,Reply to Tom 's email,89,project_management_tools_get_sprint,0.41015625,0.0,0.0
2,Reply to Tom's email,1,Reply to Tom 's email,90,supabase_mcp_insert_table_data,0.41015625,0.001953125,0.2702702702702703
2,Reply to Tom's email,1,Reply to Tom 's email,91,railway_tools_service_create_from_image,0.408203125,0.0,0.0
2,Reply to Tom's email,1,Reply to Tom 's email,92,project_management_tools_get_user_capacity,0.408203125,0.001953125,0.2702702702702703
2,Reply to Tom's email,1,Reply to Tom 's email,93,railway_tools_service_delete,0.40625,0.0,0.0
2,Reply to Tom's email,1,Reply to Tom 's email,94,quest_studio_file_storage_update_file,0.40625,0.001953125,0.2702702702702703
2,Reply to Tom's email,1,Reply to Tom 's email,95,supabase_mcp_select_database_table_data,0.404296875,0.0,0.0
2,Reply to Tom's email,1,Reply to Tom 's email,96,github_mcp_server_create_branch,0.404296875,0.001953125,0.2702702702702703
2,Reply to Tom's email,1,Reply to Tom 's email,97,sharepoint_tools_get_sharepoint_documents,0.40234375,0.001953125,0.2702702702702703
2,Reply to Tom's email,1,Reply to Tom 's email,98,project_management_tools_create_work_item,0.400390625,0.001953125,0.2702702702702703
2,Reply to Tom's email,1,Reply to Tom 's email,99,project_management_tools_update_work_item,0.3984375,0.0,0.0
2,Reply to Tom's email,1,Reply to Tom 's email,100,supabase_mcp_get_database_tables,0.3984375,0.0,0.0
2,Reply to Tom's email,1,Reply to Tom 's email,101,quest_studio_file_storage_get_file,0.3984375,0.00390625,0.5405405405405406
2,Reply to Tom's email,1,Reply to Tom 's email,102,project_management_tools_create_sprint,0.39453125,0.001953125,0.2702702702702703
2,Reply to Tom's email,1,Reply to Tom 's email,103,project_management_tools_update_user_capacity,0.392578125,0.001953125,0.2702702702702703
2,Reply to Tom's email,1,Reply to Tom 's email,104,railway_tools_volume_update,0.390625,0.001953125,0.2702702702702703
2,Reply to Tom's email,1,Reply to Tom 's email,105,sharepoint_tools_get_sharepoint_sites,0.388671875,0.001953125,0.2702702702702703
2,Reply to Tom's email,1,Reply to Tom 's email,106,project_management_tools_delete_sprint,0.38671875,0.0,0.0
2,Reply to Tom's email,1,Reply to Tom 's email,107,supabase_mcp_get_all_supabase_projects,0.38671875,0.0,0.0
2,Reply to Tom's email,1,Reply to Tom 's email,108,railway_tools_volume_delete,0.38671875,0.001953125,0.2702702702702703
2,Reply to Tom's email,1,Reply to Tom 's email,109,project_management_tools_get_work_item,0.384765625,0.0,0.0
2,Reply to Tom's email,1,Reply to Tom 's email,110,quest_studio_file_storage_get_files,0.384765625,0.0,0.0
2,Reply to Tom's email,1,Reply to Tom 's email,111,github_mcp_server_delete_file,0.384765625,0.00390625,0.5405405405405406
2,Reply to Tom's email,1,Reply to Tom 's email,112,project_management_tools_delete_work_item,0.380859375,0.013671875,1.891891891891892
2,Reply to Tom's email,1,Reply to Tom 's email,113,project_management_tools_list_users,0.3671875,0.0,0.0
2,Reply to Tom's email,1,Reply to Tom 's email,114,project_management_tools_create_project,0.3671875,0.005859375,0.8108108108108109
2,Reply to Tom's email,1,Reply to Tom 's email,115,railway_tools_volume_list,0.361328125,0.00390625,0.5405405405405406
2,Reply to Tom's email,1,Reply to Tom 's email,116,project_management_tools_list_projects,0.357421875,0.0,0.0
2,Reply to Tom's email,1,Reply to Tom 's email,117,project_management_tools_get_project,0.357421875,0.001953125,0.2702702702702703
